"","X","Plot.Code","m.rates.annual","region","Latitude.Decimal","Longitude.Decimal","plot.area","mycol"
"1",1,"AGJ-01",2.28749446160366,"3AMA_W",-11.89,-71.36,2,"#E18000CC"
"2",2,"AGP-01",2.34983399268657,"3AMA_W",-3.72,-70.31,1,"#E18000CC"
"3",3,"AGP-02",3.29953514090291,"3AMA_W",-3.72,-70.3,1,"#E18000CC"
"4",4,"ALF-01",1.34752061304831,"4AMA_BrSh",-9.6,-55.94,1,"#004C99CC"
"5",5,"ALF-02",2.85238603830307,"4AMA_BrSh",-9.58,-55.92,1,"#004C99CC"
"6",6,"ALM-01",1.87295565623826,"3AMA_W",-11.8,-71.47,2,"#E18000CC"
"7",7,"ALP-01",2.16527438143028,"3AMA_W",-3.95,-73.43,0.88,"#E18000CC"
"8",8,"ALP-30",1.88639292409648,"3AMA_W",-3.95,-73.43,1,"#E18000CC"
"9",9,"ALP-40",1.61047599217232,"3AMA_W",-3.94,-73.44,1,"#E18000CC"
"10",10,"ALV-01",1.24601684894502,"4AMA_BrSh",-16.12,-61.89,1,"#004C99CC"
"11",11,"ALV-02",1.82964969507412,"4AMA_BrSh",-16.08,-61.89,1,"#004C99CC"
"12",12,"AMA-02",1.33766159432964,"3AMA_W",5.58,-77.5,1,"#E18000CC"
"13",13,"BAR-01",1.75124627249035,"3AMA_W",-11.9,-71.42,1,"#E18000CC"
"14",14,"BDF-01",1.12292732493879,"2AMA_EC",-2.34,-60.1,2,"#F00000CC"
"15",15,"BDF-03",1.34959367613808,"2AMA_EC",-2.42,-59.85,1,"#F00000CC"
"16",16,"BDF-04",2.88142541836636,"2AMA_EC",-2.43,-59.85,1,"#F00000CC"
"17",17,"BDF-05",1.50168249616961,"2AMA_EC",-2.43,-59.85,1,"#F00000CC"
"18",18,"BDF-06",1.57710624004898,"2AMA_EC",-2.41,-59.86,3,"#F00000CC"
"19",19,"BDF-07",1.16473117475179,"2AMA_EC",-2.4,-59.9,1,"#F00000CC"
"20",20,"BDF-08",1.53001225167975,"2AMA_EC",-2.4,-59.9,1,"#F00000CC"
"21",21,"BDF-09",1.24030675303954,"2AMA_EC",-2.4,-59.85,1,"#F00000CC"
"22",22,"BDF-10",1.56047068748383,"2AMA_EC",-2.39,-59.86,2,"#F00000CC"
"23",23,"BDF-11",0.859383479834081,"2AMA_EC",-2.38,-59.85,3,"#F00000CC"
"24",24,"BDF-12",0.976129408653112,"2AMA_EC",-2.39,-59.85,2,"#F00000CC"
"25",25,"BDF-13",1.04919521370256,"2AMA_EC",-2.4,-59.91,9,"#F00000CC"
"26",26,"BDF-14",0.953898129519823,"2AMA_EC",-2.36,-59.97,1,"#F00000CC"
"27",27,"BEE-01",1.97592147275418,"3AMA_W",-16.53,-64.58,1,"#E18000CC"
"28",28,"BEE-05",1.74873048523328,"3AMA_W",-16.53,-64.58,1,"#E18000CC"
"29",29,"BES-01",2.0672643756798,"3AMA_W",10.53,-73.29,1,"#E18000CC"
"30",30,"BNT-01",0.999943892048615,"2AMA_EC",-2.64,-60.16,1,"#F00000CC"
"31",31,"BNT-04",1.16900512242986,"2AMA_EC",-2.63,-60.15,1,"#F00000CC"
"32",32,"BNT-05",1.53252595719135,"2AMA_EC",-2.63,-60.17,1,"#F00000CC"
"33",33,"BNT-06",1.39360019408253,"2AMA_EC",-2.63,-60.17,1,"#F00000CC"
"34",34,"BNT-07",0.994945111034113,"2AMA_EC",-2.63,-60.17,1,"#F00000CC"
"35",35,"BOG-01",2.30950565116456,"3AMA_W",-0.7,-76.48,1,"#E18000CC"
"36",36,"BOG-02",2.67241272287705,"3AMA_W",-0.7,-76.47,1,"#E18000CC"
"37",37,"CAR-01",1.82251513353197,"4AMA_BrSh",-5.58,-49.72,1,"#004C99CC"
"38",38,"CAX-01",0.80345454883575,"2AMA_EC",-1.74,-51.46,1,"#F00000CC"
"39",39,"CAX-02",1.3654619951907,"2AMA_EC",-1.74,-51.46,1,"#F00000CC"
"40",40,"CAX-06",1.34682481278274,"2AMA_EC",-1.72,-51.46,1,"#F00000CC"
"41",41,"CAX-08",2.02006651672694,"2AMA_EC",-1.85,-51.47,1,"#F00000CC"
"42",42,"CHO-01",3.23901299421167,"4AMA_BrSh",-14.39,-61.15,1,"#004C99CC"
"43",43,"CLA-34",1.66052489459668,"3AMA_W",10.01,-65.32,0.511,"#E18000CC"
"44",44,"CPP-01",1.7049638800217,"4AMA_BrSh",-1.84,-47.1,1,"#004C99CC"
"45",45,"CRP-02",3.14495179765514,"4AMA_BrSh",-14.54,-61.5,1,"#004C99CC"
"46",46,"CUZ-02",1.98037409566893,"3AMA_W",-12.54,-69.06,1,"#E18000CC"
"47",47,"CUZ-03",2.07019113942066,"3AMA_W",-12.53,-69.05,1,"#E18000CC"
"48",48,"CUZ-04",2.86780509968745,"3AMA_W",-12.54,-69.05,1,"#E18000CC"
"49",49,"DOI-01",1.97287597647653,"3AMA_W",-10.57,-68.32,1,"#E18000CC"
"50",50,"DOI-02",5.08951381245234,"3AMA_W",-10.55,-68.31,1,"#E18000CC"
"51",51,"ECE-01",1.66982911906674,"3AMA_W",10.68,-75.27,1,"#E18000CC"
"52",52,"ELD-12",1.01596625224882,"1AMA_GuSh",6.11,-61.41,0.5,"#006600CC"
"53",53,"ELD-34",1.67815882256001,"1AMA_GuSh",6.09,-61.38,0.5,"#006600CC"
"54",54,"FEC-01",2.58277316430018,"3AMA_W",-10.07,-67.62,1,"#E18000CC"
"55",55,"FLO-01",2.76714315235193,"4AMA_BrSh",-12.81,-51.85,1,"#004C99CC"
"56",56,"FLO-02",1.32431998551728,"4AMA_BrSh",-12.75,-51.88,1,"#004C99CC"
"57",57,"FMH-01",0.805205310657248,"1AMA_GuSh",5.17,-58.69,1,"#006600CC"
"58",58,"FMH-02",0.570919607220749,"1AMA_GuSh",5.17,-58.69,1,"#006600CC"
"59",59,"FMH-03",1.03835902914355,"1AMA_GuSh",5.18,-58.7,1,"#006600CC"
"60",60,"GMT-01",1.56595077624962,"2AMA_EC",-1.11,-47.8,1,"#F00000CC"
"61",61,"HCC-21",2.92724794068177,"4AMA_BrSh",-14.53,-60.74,1,"#004C99CC"
"62",62,"HCC-22",2.50379166570485,"4AMA_BrSh",-14.53,-60.73,1,"#004C99CC"
"63",63,"HCC-24",3.31201082090997,"4AMA_BrSh",-14.57,-60.75,1,"#004C99CC"
"64",64,"IND-01",4.96933394921406,"3AMA_W",-3.52,-72.85,1,"#E18000CC"
"65",65,"INF-01",2.05441782508158,"3AMA_W",-12.73,-69.7,1.3,"#E18000CC"
"66",66,"IWO-21",1.15354064968146,"1AMA_GuSh",4.63,-58.74,1,"#006600CC"
"67",67,"IWO-22",0.881480736037677,"1AMA_GuSh",4.62,-58.72,1,"#006600CC"
"68",68,"JAC-01",1.18976857176445,"2AMA_EC",-2.61,-60.21,5,"#F00000CC"
"69",69,"JAC-02",1.4157289972922,"2AMA_EC",-2.62,-60.2,5,"#F00000CC"
"70",70,"JAS-02",2.4718422609379,"3AMA_W",-1.07,-77.62,1,"#E18000CC"
"71",71,"JAS-03",2.06346388805781,"3AMA_W",-1.08,-77.61,1,"#E18000CC"
"72",72,"JAS-04",1.31464090181178,"3AMA_W",-1.07,-77.61,0.96,"#E18000CC"
"73",73,"JAS-05",1.94710349849551,"3AMA_W",-1.06,-77.62,1,"#E18000CC"
"74",74,"JRI-01",1.03412420404554,"2AMA_EC",-0.89,-52.19,1,"#F00000CC"
"75",75,"KAL-01",2.88468747114985,"3AMA_W",11.24,-74.14,1,"#E18000CC"
"76",76,"KEN-01",1.60855054397584,"4AMA_BrSh",-16.02,-62.73,1,"#004C99CC"
"77",77,"KEN-02",3.80132503493465,"4AMA_BrSh",-16.01,-62.74,1,"#004C99CC"
"78",78,"LAS-02",2.19590015721755,"3AMA_W",-12.57,-70.09,1,"#E18000CC"
"79",79,"LFB-01",2.23943534476017,"4AMA_BrSh",-14.58,-60.83,1,"#004C99CC"
"80",80,"LFB-02",2.38651699512494,"4AMA_BrSh",-14.58,-60.83,1,"#004C99CC"
"81",81,"LOR-01",1.99252381187734,"3AMA_W",-3.06,-69.99,1,"#E18000CC"
"82",82,"LOR-04",2.21346963516964,"3AMA_W",-3.06,-69.99,1,"#E18000CC"
"83",83,"LSL-01",3.55746803956203,"4AMA_BrSh",-14.4,-61.14,1,"#004C99CC"
"84",84,"LSL-02",2.38625139501861,"4AMA_BrSh",-14.4,-61.14,1,"#004C99CC"
"85",85,"MIN-01",2.01113979517336,"3AMA_W",-8.57,-72.9,1,"#E18000CC"
"86",86,"MNU-01",2.33728145386837,"3AMA_W",-11.89,-71.41,2.25,"#E18000CC"
"87",87,"MNU-03",2.66373502386209,"3AMA_W",-11.9,-71.4,2,"#E18000CC"
"88",88,"MNU-04",1.79712153723655,"3AMA_W",-11.9,-71.4,1,"#E18000CC"
"89",89,"MNU-05",1.6503165722311,"3AMA_W",-11.88,-71.41,2.25,"#E18000CC"
"90",90,"MNU-06",1.91492865246204,"3AMA_W",-11.89,-71.4,2.25,"#E18000CC"
"91",91,"MNU-08",1.51240644828241,"3AMA_W",-12,-71.24,2,"#E18000CC"
"92",92,"MNU-09",2.33390515619602,"3AMA_W",-12.04,-71.21,2,"#E18000CC"
"93",93,"MRB-01",2.27336234552296,"4AMA_BrSh",-5.73,-49.05,2,"#004C99CC"
"94",94,"MRB-02",1.96596799297264,"4AMA_BrSh",-5.72,-49.03,2,"#004C99CC"
"95",95,"MRB-03",1.8530628417388,"4AMA_BrSh",-5.7,-49,2,"#004C99CC"
"96",96,"MSH-01",1.82302342136926,"3AMA_W",-3.78,-73.5,1,"#E18000CC"
"97",97,"MTG-58",0.82805489568926,"3AMA_W",-19.27,-63.84,1,"#E18000CC"
"98",98,"MTH-01",3.01954784147463,"3AMA_W",-8.88,-72.79,1,"#E18000CC"
"99",99,"NOU-02",1.11419086786116,"1AMA_GuSh",4.09,-52.67,1,"#006600CC"
"100",100,"NOU-04",1.61261707576183,"1AMA_GuSh",4.09,-52.68,1,"#006600CC"
"101",101,"NOU-10",2.02562629024712,"1AMA_GuSh",4.09,-52.68,1,"#006600CC"
"102",102,"NOU-GP1",1.68948038514695,"1AMA_GuSh",4.09,-52.68,7,"#006600CC"
"103",103,"NOU-PP",1.25374889830109,"1AMA_GuSh",4.08,-52.68,12,"#006600CC"
"104",104,"NXV-09",3.73407210658603,"4AMA_BrSh",-14.69,-52.35,0.5,"#004C99CC"
"105",105,"OTT-01",2.14749826990292,"4AMA_BrSh",-16.39,-61.21,1,"#004C99CC"
"106",106,"PAK-01",3.05971387618459,"3AMA_W",-11.94,-71.28,1,"#E18000CC"
"107",107,"PAK-02",1.94524169053497,"3AMA_W",-11.97,-71.27,1.4,"#E18000CC"
"108",108,"PAR-01",2.88479576778087,"1AMA_GuSh",5.28,-52.92,0.98,"#006600CC"
"109",109,"PAR-02",1.6025386609628,"1AMA_GuSh",5.28,-52.92,1.47,"#006600CC"
"110",110,"PAR-03",1.78300173048489,"1AMA_GuSh",5.28,-52.92,0.98,"#006600CC"
"111",111,"PAR-04",1.16036544166328,"1AMA_GuSh",5.28,-52.92,0.98,"#006600CC"
"112",112,"PEA-03",1.07934243900448,"4AMA_BrSh",-12.38,-50.89,1,"#004C99CC"
"113",113,"PEA-04",3.16880223990706,"4AMA_BrSh",-12.42,-50.71,1,"#004C99CC"
"114",114,"PEA-05",1.91086550701907,"4AMA_BrSh",-11.9,-50.75,1,"#004C99CC"
"115",115,"PEA-06",10.772386928289,"4AMA_BrSh",-11.92,-50.71,1,"#004C99CC"
"116",116,"PEA-07",5.8261739909432,"4AMA_BrSh",-12.48,-50.9,1,"#004C99CC"
"117",117,"PEA-08",4.59356529476164,"4AMA_BrSh",-12.54,-50.74,1,"#004C99CC"
"118",118,"PIB-10cm",0.865916509229498,"1AMA_GuSh",5.02,-58.62,0.75,"#006600CC"
